height,weight,label
155,37,thin
158,43,thin
198,35,thin
174,61,normal
180,62,normal
143,72,fat
122,80,fat
137,44,normal
154,56,normal
193,51,thin
153,41,thin
193,76,normal
174,65,normal
171,68,normal
126,39,normal
125,41,fat
173,45,thin
134,76,fat
124,74,fat
143,75,fat
147,79,fat
173,56,normal
129,42,normal
195,35,thin
138,41,normal
161,45,thin
121,39,fat
185,51,thin
121,51,fat
190,47,thin
175,42,thin
141,77,fat
191,35,thin
121,73,fat
162,66,normal
136,56,fat
180,65,normal
160,52,normal
165,68,normal
131,70,fat
142,49,normal
149,58,fat
168,73,fat
175,64,normal
120,75,fat
127,42,fat
190,53,thin
200,47,thin
187,37,thin
151,59,fat
177,49,thin
154,70,fat
150,43,normal
148,41,normal
150,68,fat
197,77,normal
173,75,normal
164,69,fat
157,64,fat
135,37,normal
191,60,thin
170,79,fat
154,41,thin
178,37,thin
131,72,fat
177,73,normal
175,69,normal
196,46,thin
154,57,normal
177,49,thin
189,36,thin
156,59,normal
126,42,fat
145,73,fat
143,76,fat
130,36,normal
170,41,thin
130,46,fat
197,43,thin
171,42,thin
138,40,normal
164,57,normal
121,38,fat
183,69,normal
145,36,thin
199,67,thin
185,62,thin
148,66,fat
190,77,normal
134,69,fat
175,71,normal
195,75,normal
161,46,thin
190,43,thin
144,60,fat
130,71,fat
128,38,normal
172,80,fat
185,44,thin
176,51,thin
160,61,normal
139,71,fat
124,70,fat
192,70,normal
148,65,fat
134,55,fat
185,76,normal
150,70,fat
174,67,normal
148,71,fat
171,79,fat
189,53,thin
120,68,fat
126,56,fat
196,72,normal
133,35,normal
123,70,fat
149,54,normal
171,75,fat
171,58,normal
199,44,thin
175,77,normal
143,42,normal
137,60,fat
180,63,normal
168,56,normal
171,47,thin
180,67,normal
189,43,thin
141,75,fat
187,77,normal
162,64,normal
134,55,fat
178,64,normal
181,62,normal
183,52,thin
186,73,normal
127,76,fat
175,59,normal
199,63,thin
131,64,fat
128,58,fat
173,70,normal
151,60,fat
146,76,fat
129,43,fat
162,80,fat
156,74,fat
139,48,normal
190,75,normal
135,66,fat
133,76,fat
169,65,normal
155,67,fat
188,48,thin
184,80,normal
176,61,normal
149,67,fat
194,62,thin
200,73,thin
138,66,fat
128,62,fat
190,47,thin
138,52,fat
159,76,fat
144,63,fat
191,40,thin
136,35,normal
187,40,thin
132,75,fat
121,68,fat
178,39,thin
134,55,fat
197,76,normal
148,35,thin
138,80,fat
194,58,thin
183,55,thin
191,74,normal
191,52,thin
128,41,normal
159,64,normal
156,47,normal
151,80,fat
157,72,fat
133,70,fat
193,53,thin
160,71,fat
169,59,normal
155,47,normal
125,57,fat
153,57,normal
160,40,thin
153,56,normal
178,46,thin
194,46,thin
167,61,normal
120,70,fat
151,56,normal
199,80,normal
125,51,fat
123,77,fat
157,53,normal
163,52,normal
164,59,normal
180,41,thin
160,47,thin
167,65,normal
146,53,normal
174,69,normal
173,35,thin
136,53,fat
189,79,normal
139,78,fat
121,72,fat
120,63,fat
134,47,fat
154,35,thin
146,75,fat
152,43,normal
186,35,thin
188,38,thin
137,74,fat
189,39,thin
172,73,normal
179,73,normal
129,77,fat
175,41,thin
190,42,thin
199,38,thin
161,51,normal
127,49,fat
194,35,thin
184,44,thin
145,70,fat
159,36,thin
133,56,fat
193,45,thin
146,49,normal
182,64,normal
191,77,normal
182,35,thin
141,63,fat
167,40,thin
191,43,thin
181,78,normal
191,47,thin
146,80,fat
161,69,fat
141,44,normal
155,44,thin
194,40,thin
150,38,thin
156,43,thin
170,41,thin
166,65,normal
159,75,fat
131,42,normal
145,41,normal
178,39,thin
196,52,thin
200,47,thin
196,58,thin
125,63,fat
147,47,normal
145,74,fat
162,75,fat
177,61,normal
122,52,fat
160,62,normal
159,65,fat
145,78,fat
179,71,normal
198,49,thin
182,74,normal
160,43,thin
153,47,normal
186,48,thin
120,73,fat
128,53,fat
174,58,normal
193,43,thin
128,72,fat
189,79,normal
192,54,thin
141,40,normal
159,45,thin
124,42,fat
152,50,normal
135,52,fat
200,51,thin
183,67,normal
148,46,normal
158,64,fat
130,48,fat
189,70,normal
180,43,thin
179,58,thin
146,42,normal
153,43,thin
130,67,fat
189,46,thin
175,47,thin
167,58,normal
150,54,normal
192,62,thin
143,78,fat
152,53,normal
190,38,thin
134,69,fat
133,46,fat
156,55,normal
167,67,normal
177,62,normal
185,65,normal
176,48,thin
165,73,fat
182,77,normal
180,53,thin
159,70,fat
148,58,fat
193,54,thin
146,74,fat
139,78,fat
131,56,fat
191,44,thin
140,78,fat
172,52,thin
179,40,thin
151,62,fat
200,57,thin
191,60,thin
159,72,fat
178,73,normal
177,61,normal
151,49,normal
190,41,thin
134,53,fat
176,56,thin
123,59,fat
185,77,normal
141,62,fat
130,70,fat
146,38,thin
149,46,normal
130,79,fat
198,35,thin
131,36,normal
156,46,normal
128,62,fat
154,46,normal
125,38,normal
172,68,normal
146,46,normal
133,44,normal
127,67,fat
157,39,thin
128,54,fat
199,72,thin
141,61,fat
142,78,fat
137,44,normal
131,60,fat
192,41,thin
127,40,normal
174,49,thin
127,40,normal
150,41,thin
195,77,normal
160,41,thin
139,53,fat
135,74,fat
143,73,fat
181,61,normal
163,40,thin
140,48,normal
167,38,thin
174,69,normal
134,37,normal
165,56,normal
127,63,fat
126,68,fat
140,60,fat
187,52,thin
131,78,fat
187,42,thin
125,62,fat
176,35,thin
160,51,normal
122,68,fat
148,60,fat
181,67,normal
120,47,fat
161,63,normal
197,77,normal
143,48,normal
177,57,thin
161,58,normal
185,48,thin
136,79,fat
183,70,normal
193,74,normal
186,66,normal
192,54,thin
120,66,fat
162,60,normal
151,37,thin
156,67,fat
137,64,fat
192,71,normal
175,74,normal
157,73,fat
141,47,normal
175,48,thin
158,56,normal
144,35,thin
132,79,fat
161,45,thin
151,46,normal
160,77,fat
127,76,fat
169,63,normal
178,46,thin
164,74,fat
124,73,fat
188,74,normal
168,73,fat
151,71,fat
131,65,fat
142,43,normal
145,36,thin
133,59,fat
148,45,normal
167,39,thin
123,58,fat
164,67,normal
143,65,fat
164,77,fat
134,35,normal
136,74,fat
139,73,fat
144,53,fat
159,59,normal
127,55,fat
139,60,fat
148,77,fat
180,45,thin
120,46,fat
155,61,normal
168,73,fat
145,66,fat
156,43,thin
137,61,fat
178,57,thin
146,55,fat
189,62,thin
188,52,thin
131,59,fat
146,47,normal
169,60,normal
199,46,thin
198,52,thin
172,79,fat
127,50,fat
155,77,fat
131,79,fat
130,76,fat
146,69,fat
188,41,thin
125,78,fat
134,80,fat
159,66,fat
169,41,thin
186,75,normal
168,48,thin
190,49,thin
143,56,fat
182,80,normal
156,43,thin
148,40,thin
148,48,normal
174,44,thin
157,72,fat
172,64,normal
168,66,normal
178,40,thin
120,36,normal
180,61,normal
183,77,normal
155,71,fat
133,45,normal
136,41,normal
180,42,thin
178,80,normal
127,63,fat
121,59,fat
141,44,normal
144,49,normal
185,52,thin
145,50,normal
136,39,normal
166,56,normal
198,36,thin
189,55,thin
199,76,normal
128,57,fat
132,55,fat
128,63,fat
125,58,fat
181,68,normal
189,62,thin
133,42,normal
193,55,thin
189,37,thin
190,44,thin
120,65,fat
148,65,fat
128,35,normal
136,71,fat
170,42,thin
121,75,fat
187,59,thin
176,74,normal
164,58,normal
127,46,fat
158,66,fat
176,59,normal
164,70,fat
150,73,fat
136,53,fat
176,40,thin
127,49,fat
145,44,normal
194,42,thin
138,40,normal
171,62,normal
125,57,fat
148,50,normal
184,63,normal
193,61,thin
156,48,normal
167,45,thin
138,50,fat
144,68,fat
144,52,normal
137,62,fat
171,42,thin
195,79,normal
159,40,thin
140,43,normal
163,55,normal
161,56,normal
176,50,thin
191,39,thin
120,65,fat
175,78,normal
177,46,thin
140,63,fat
177,35,thin
184,79,normal
156,64,fat
123,54,fat
130,47,fat
188,76,normal
171,43,thin
164,41,thin
185,49,thin
130,79,fat
197,65,thin
181,71,normal
175,77,normal
149,72,fat
182,68,normal
183,37,thin
196,56,thin
184,40,thin
181,58,thin
161,62,normal
169,71,normal
135,48,fat
123,44,fat
178,41,thin
166,39,thin
162,76,fat
192,56,thin
197,80,normal
166,44,thin
147,44,normal
165,50,thin
166,38,thin
186,55,thin
183,52,thin
164,55,normal
187,40,thin
138,50,fat
187,66,normal
124,52,fat
150,61,fat
151,39,thin
173,36,thin
195,75,normal
136,70,fat
194,68,thin
200,78,normal
190,70,normal
167,56,normal
198,39,thin
185,70,normal
169,71,normal
182,38,thin
174,64,normal
145,42,normal
123,52,fat
174,67,normal
122,41,fat
140,76,fat
128,71,fat
164,77,fat
150,80,fat
133,40,normal
161,49,normal
134,52,fat
157,78,fat
180,53,thin
146,80,fat
122,71,fat
156,49,normal
146,60,fat
127,67,fat
172,62,normal
120,37,fat
178,37,thin
145,52,normal
195,62,thin
132,35,normal
177,66,normal
176,36,thin
161,50,normal
162,71,fat
185,43,thin
125,69,fat
157,70,fat
131,65,fat
163,65,normal
163,67,normal
189,52,thin
125,44,fat
140,69,fat
139,72,fat
144,57,fat
124,63,fat
184,51,thin
143,70,fat
157,42,thin
196,73,normal
148,71,fat
139,68,fat
127,41,normal
129,41,normal
136,45,normal
167,79,fat
129,49,fat
146,44,normal
138,80,fat
173,73,normal
129,71,fat
142,64,fat
168,58,normal
131,45,fat
191,39,thin
181,40,thin
132,58,fat
139,60,fat
170,59,normal
192,71,normal
133,51,fat
131,66,fat
146,45,normal
140,79,fat
133,64,fat
180,48,thin
175,79,fat
158,75,fat
184,78,normal
142,75,fat
199,41,thin
183,61,thin
155,48,normal
121,78,fat
139,66,fat
180,80,normal
159,76,fat
159,42,thin
179,69,normal
135,54,fat
143,57,fat
197,36,thin
177,79,normal
158,72,fat
193,58,thin
193,45,thin
173,66,normal
189,49,thin
170,68,normal
157,74,fat
170,54,normal
175,41,thin
158,76,fat
175,57,normal
173,72,normal
190,77,normal
151,59,fat
195,60,thin
188,57,thin
130,80,fat
185,74,normal
172,71,normal
120,74,fat
192,52,thin
125,60,fat
140,60,fat
183,50,thin
187,48,thin
155,80,fat
127,56,fat
157,58,normal
162,42,thin
129,37,normal
168,52,thin
178,37,thin
149,45,normal
156,79,fat
188,70,normal
137,39,normal
186,38,thin
139,66,fat
152,46,normal
121,37,normal
173,54,thin
168,57,normal
135,65,fat
194,43,thin
125,40,fat
147,80,fat
130,67,fat
151,64,fat
137,60,fat
140,66,fat
188,70,normal
156,68,fat
152,78,fat
153,52,normal
144,49,normal
138,59,fat
145,72,fat
178,59,normal
133,65,fat
125,60,fat
186,68,normal
121,77,fat
135,70,fat
132,55,fat
175,48,thin
151,35,thin
173,37,thin
163,60,normal
169,56,normal
193,38,thin
154,72,fat
199,41,thin
125,45,fat
199,43,thin
174,58,normal
196,75,normal
179,37,thin
194,48,thin
160,72,fat
197,56,thin
120,57,fat
142,39,normal
187,73,normal
126,44,fat
124,40,fat
178,37,thin
153,40,thin
123,69,fat
157,78,fat
188,42,thin
182,78,normal
176,50,thin
142,71,fat
152,68,fat
143,55,fat
187,75,normal
148,75,fat
176,58,normal
134,52,fat
163,43,thin
139,35,thin
130,51,fat
151,43,normal
165,77,fat
199,36,thin
164,41,thin
136,64,fat
189,42,thin
169,53,normal
132,60,fat
164,48,thin
128,42,fat
153,62,fat
123,76,fat
168,42,thin
146,45,normal
182,59,thin
165,50,thin
177,46,thin
137,66,fat
194,72,normal
182,62,normal
189,51,thin
186,39,thin
187,43,thin
156,72,fat
159,62,normal
142,69,fat
155,69,fat
175,38,thin
157,69,fat
154,47,normal
188,49,thin
182,56,thin
153,73,fat
164,59,normal
197,48,thin
149,39,thin
176,69,normal
164,39,thin
141,63,fat
185,36,thin
184,76,normal
146,62,fat
177,65,normal
147,63,fat
144,49,normal
138,42,normal
188,40,thin
170,50,thin
154,59,normal
121,62,fat
177,58,normal
160,68,fat
194,42,thin
140,45,normal
186,46,thin
163,44,thin
127,71,fat
165,51,normal
200,62,thin
141,52,fat
200,60,thin
135,74,fat
178,56,thin
143,71,fat
139,69,fat
190,61,thin
195,72,normal
139,57,fat
136,60,fat
152,72,fat
169,43,thin
169,54,normal
141,73,fat
149,78,fat
139,69,fat
198,63,thin
195,72,normal
166,55,normal
137,64,fat
129,63,fat
188,53,thin
122,52,fat
169,53,normal
160,67,fat
134,49,fat
195,39,thin
156,70,fat
160,42,thin
168,80,fat
176,69,normal
159,71,fat
142,41,normal
182,51,thin
165,75,fat
151,68,fat
151,73,fat
184,50,thin
182,45,thin
195,61,thin
189,50,thin
124,49,fat
178,36,thin
189,57,thin
153,57,normal
163,49,thin
121,38,fat
173,51,thin
139,38,normal
144,49,normal
168,55,normal
179,41,thin
133,69,fat
159,43,thin
175,50,thin
180,76,normal
131,70,fat
190,60,thin
189,56,thin
178,68,normal
136,54,fat
191,37,thin
150,62,fat
194,70,normal
198,39,thin
147,77,fat
137,80,fat
146,38,thin
139,64,fat
185,55,thin
172,74,normal
135,60,fat
195,67,thin
136,45,normal
141,45,normal
134,70,fat
189,76,normal
188,45,thin
172,51,thin
152,44,normal
128,42,fat
127,46,fat
196,38,thin
195,51,thin
163,48,thin
160,39,thin
151,72,fat
193,62,thin
189,48,thin
142,78,fat
135,35,normal
153,37,thin
159,76,fat
160,67,fat
156,38,thin
190,59,thin
155,70,fat
187,56,thin
147,58,fat
151,80,fat
128,77,fat
140,50,fat
175,61,normal
134,53,fat
163,52,normal
135,65,fat
124,68,fat
172,55,normal
149,63,fat
176,73,normal
151,49,normal
125,77,fat
131,57,fat
124,60,fat
135,60,fat
199,63,thin
189,77,normal
136,71,fat
124,37,normal
182,62,normal
155,59,normal
128,79,fat
188,74,normal
147,61,fat
142,58,fat
134,42,normal
161,35,thin
158,57,normal
171,41,thin
162,39,thin
147,54,normal
165,56,normal
133,78,fat
151,62,fat
149,62,fat
143,72,fat
150,58,fat
131,71,fat
157,67,fat
198,71,thin
175,50,thin
127,79,fat
142,41,normal
139,79,fat
138,43,normal
180,57,thin
143,37,thin
122,57,fat
181,79,normal
125,69,fat
180,44,thin
184,72,normal
172,75,normal
187,54,thin
160,61,normal
147,71,fat
179,62,normal
186,53,thin
157,51,normal
163,65,normal
126,54,fat
127,63,fat
152,65,fat
127,73,fat
193,35,thin
191,72,normal
135,56,fat
195,75,normal
191,80,normal
153,47,normal
144,56,fat
161,36,thin
171,64,normal
188,40,thin
131,35,normal
152,56,normal
130,65,fat
147,72,fat
157,40,thin
128,41,normal
134,70,fat
175,52,thin
189,44,thin
171,48,thin
183,44,thin
170,40,thin
190,56,thin
136,43,normal
175,48,thin
133,67,fat
140,76,fat
196,71,thin
174,60,normal
141,59,fat
189,65,thin
180,42,thin
182,70,normal
182,36,thin
196,49,thin
196,66,thin
190,67,normal
181,60,thin
167,36,thin
126,41,fat
193,52,thin
167,71,normal
121,68,fat
166,46,thin
171,67,normal
196,50,thin
120,39,fat
123,68,fat
173,67,normal
154,50,normal
126,77,fat
177,50,thin
128,64,fat
123,78,fat
162,76,fat
188,58,thin
158,48,normal
182,53,thin
169,66,normal
140,62,fat
186,74,normal
169,48,thin
158,40,thin
181,69,normal
194,71,normal
129,50,fat
158,55,normal
139,78,fat
185,78,normal
199,74,normal
183,49,thin
169,35,thin
190,38,thin
187,71,normal
122,37,normal
170,36,thin
165,69,normal
168,44,thin
134,66,fat
141,48,normal
158,39,thin
122,35,normal
154,79,fat
157,36,thin
191,65,thin
120,42,fat
173,49,thin
199,78,normal
180,44,thin
180,58,thin
172,73,normal
160,68,fat
176,73,normal
182,55,thin
193,38,thin
168,70,normal
166,56,normal
165,62,normal
181,67,normal
192,74,normal
188,72,normal
189,54,thin
192,48,thin
149,43,normal
137,55,fat
184,66,normal
160,43,thin
200,39,thin
193,62,thin
138,65,fat
184,55,thin
133,50,fat
129,40,normal
154,63,fat
150,37,thin
140,45,normal
162,45,thin
129,73,fat
193,52,thin
132,77,fat
139,63,fat
154,71,fat
158,75,fat
126,45,fat
196,59,thin
166,49,thin
193,77,normal
162,75,fat
146,56,fat
129,65,fat
156,75,fat
149,79,fat
158,56,normal
192,53,thin
178,48,thin
199,52,thin
149,53,normal
136,64,fat
148,54,normal
139,59,fat
173,64,normal
174,63,normal
189,71,normal
180,39,thin
168,46,thin
162,53,normal
178,62,normal
143,39,normal
170,36,thin
192,39,thin
135,80,fat
121,50,fat
174,51,thin
151,74,fat
129,76,fat
123,46,fat
178,36,thin
184,47,thin
121,37,normal
166,75,fat
191,75,normal
124,64,fat
135,47,fat
157,49,normal
130,70,fat
134,55,fat
124,73,fat
168,53,normal
131,69,fat
171,59,normal
128,72,fat
164,53,normal
133,47,fat
152,76,fat
143,59,fat
143,61,fat
149,51,normal
167,65,normal
157,56,normal
143,53,fat
145,36,thin
195,66,thin
125,36,normal
160,45,thin
177,35,thin
193,66,thin
196,54,thin
163,55,normal
121,78,fat
178,40,thin
165,59,normal
195,70,thin
190,62,thin
152,80,fat
154,42,thin
125,58,fat
162,39,thin
149,73,fat
199,44,thin
193,60,thin
137,55,fat
184,47,thin
176,53,thin
172,52,thin
188,63,thin
184,57,thin
196,35,thin
170,54,normal
188,55,thin
175,49,thin
194,38,thin
128,69,fat
178,59,normal
134,57,fat
200,60,thin
185,72,normal
164,57,normal
178,58,thin
160,53,normal
188,60,thin
120,48,fat
168,52,thin
163,39,thin
181,76,normal
173,63,normal
168,79,fat
172,51,thin
181,44,thin
127,78,fat
187,56,thin
195,41,thin
130,49,fat
134,41,normal
200,77,normal
172,78,fat
176,59,normal
192,49,thin
163,59,normal
149,72,fat
179,57,thin
181,41,thin
142,78,fat
137,63,fat
195,58,thin
164,61,normal
179,50,thin
170,77,fat
141,75,fat
134,53,fat
121,64,fat
162,56,normal
144,44,normal
168,70,normal
192,38,thin
154,76,fat
192,48,thin
174,43,thin
123,35,normal
164,43,thin
128,48,fat
132,52,fat
121,70,fat
183,52,thin
173,41,thin
186,35,thin
160,61,normal
174,71,normal
141,79,fat
144,45,normal
136,80,fat
174,58,normal
165,79,fat
166,41,thin
120,50,fat
145,57,fat
128,77,fat
143,43,normal
196,56,thin
123,75,fat
154,64,fat
137,59,fat
186,78,normal
178,35,thin
198,35,thin
136,48,fat
171,66,normal
184,42,thin
121,55,fat
173,51,thin
153,69,fat
160,68,fat
193,40,thin
129,75,fat
154,41,thin
130,79,fat
145,36,thin
178,47,thin
158,68,fat
165,54,normal
160,48,normal
185,40,thin
135,59,fat
145,35,thin
184,68,normal
169,41,thin
176,76,normal
146,50,normal
155,37,thin
170,49,thin
129,75,fat
130,55,fat
151,44,normal
124,43,fat
158,42,thin
130,54,fat
138,36,normal
200,71,thin
152,51,normal
187,64,thin
138,47,normal
124,48,fat
153,57,normal
197,76,normal
196,62,thin
139,80,fat
200,43,thin
124,45,fat
160,62,normal
166,35,thin
154,55,normal
152,64,fat
158,78,fat
123,79,fat
156,78,fat
137,80,fat
144,51,normal
126,60,fat
156,35,thin
185,36,thin
189,42,thin
130,39,normal
157,69,fat
165,35,thin
186,67,normal
159,64,normal
139,52,fat
181,61,normal
190,35,thin
154,54,normal
182,60,thin
153,37,thin
134,59,fat
167,56,normal
183,57,thin
126,65,fat
198,77,normal
181,80,normal
165,45,thin
181,58,thin
199,44,thin
173,47,thin
199,43,thin
193,74,normal
174,61,normal
185,36,thin
171,58,normal
168,62,normal
197,69,thin
185,72,normal
124,48,fat
199,37,thin
137,63,fat
195,50,thin
180,39,thin
120,36,normal
